run,type,module,name,attrname,attrvalue,vectime,vecvalue
N20-29-20260518-02:26:39-159846,runattr,,,measurement,"$0=""avg""",,
N20-29-20260518-02:26:39-159846,runattr,,,network,test2.LoRaNetworkTest,,
N20-29-20260518-02:26:39-159846,runattr,,,processid,159846,,
N20-29-20260518-02:26:39-159846,runattr,,,repetition,29,,
N20-29-20260518-02:26:39-159846,runattr,,,replication,#29,,
N20-29-20260518-02:26:39-159846,runattr,,,resultdir,results,,
N20-29-20260518-02:26:39-159846,runattr,,,runnumber,29,,
N20-29-20260518-02:26:39-159846,runattr,,,seedset,29,,
N20-29-20260518-02:26:39-159846,config,,,extends,General,,
N20-29-20260518-02:26:39-159846,config,,,**.numPatients,20,,
N20-29-20260518-02:26:39-159846,config,,,network,test2.LoRaNetworkTest,,
N20-29-20260518-02:26:39-159846,config,,,sim-time-limit,1h,,
N20-29-20260518-02:26:39-159846,config,,,warmup-period,60s,,
N20-29-20260518-02:26:39-159846,config,,,simtime-resolution,-11,,
N20-29-20260518-02:26:39-159846,config,,,repeat,30,,
N20-29-20260518-02:26:39-159846,config,,,rng-class,cMersenneTwister,,
N20-29-20260518-02:26:39-159846,config,,,record-eventlog,false,,
N20-29-20260518-02:26:39-159846,config,,,**.numPatients,20,,
N20-29-20260518-02:26:39-159846,config,,,**.HospitalServer.app[0].queueLength:vector.vector-recording,true,,
N20-29-20260518-02:26:39-159846,config,,,**.HospitalServer.app[0].urgentWaitTime:vector.vector-recording,true,,
N20-29-20260518-02:26:39-159846,config,,,**.HospitalServer.app[0].normalWaitTime:vector.vector-recording,true,,
N20-29-20260518-02:26:39-159846,config,,,**.HospitalServer.app[0].urgentEndToEndDelay:vector.vector-recording,true,,
N20-29-20260518-02:26:39-159846,config,,,**.HospitalServer.app[0].normalEndToEndDelay:vector.vector-recording,true,,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[*].app[0].emergencyVariate:vector.vector-recording,true,,
N20-29-20260518-02:26:39-159846,config,,,**.vector-recording,false,,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[0].**.initialX,"300m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[0].**.initialY,"250m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[1].**.initialX,"450m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[1].**.initialY,"250m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[2].**.initialX,"600m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[2].**.initialY,"250m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[3].**.initialX,"750m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[3].**.initialY,"250m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[4].**.initialX,"900m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[4].**.initialY,"250m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[5].**.initialX,"1050m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[5].**.initialY,"250m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[6].**.initialX,"1200m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[6].**.initialY,"250m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[7].**.initialX,"1350m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[7].**.initialY,"250m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[8].**.initialX,"1500m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[8].**.initialY,"250m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[9].**.initialX,"1650m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[9].**.initialY,"250m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[10].**.initialX,"300m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[10].**.initialY,"370m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[11].**.initialX,"450m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[11].**.initialY,"370m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[12].**.initialX,"600m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[12].**.initialY,"370m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[13].**.initialX,"750m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[13].**.initialY,"370m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[14].**.initialX,"900m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[14].**.initialY,"370m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[15].**.initialX,"1050m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[15].**.initialY,"370m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[16].**.initialX,"1200m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[16].**.initialY,"370m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[17].**.initialX,"1350m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[17].**.initialY,"370m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[18].**.initialX,"1500m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[18].**.initialY,"370m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[19].**.initialX,"1650m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[19].**.initialY,"370m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[20].**.initialX,"300m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[20].**.initialY,"490m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[21].**.initialX,"450m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[21].**.initialY,"490m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[22].**.initialX,"600m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[22].**.initialY,"490m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[23].**.initialX,"750m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[23].**.initialY,"490m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[24].**.initialX,"900m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[24].**.initialY,"490m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[25].**.initialX,"1050m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[25].**.initialY,"490m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[26].**.initialX,"1200m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[26].**.initialY,"490m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[27].**.initialX,"1350m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[27].**.initialY,"490m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[28].**.initialX,"1500m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[28].**.initialY,"490m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[29].**.initialX,"1650m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[29].**.initialY,"490m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[30].**.initialX,"300m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[30].**.initialY,"610m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[31].**.initialX,"450m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[31].**.initialY,"610m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[32].**.initialX,"600m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[32].**.initialY,"610m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[33].**.initialX,"750m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[33].**.initialY,"610m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[34].**.initialX,"900m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[34].**.initialY,"610m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[35].**.initialX,"1050m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[35].**.initialY,"610m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[36].**.initialX,"1200m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[36].**.initialY,"610m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[37].**.initialX,"1350m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[37].**.initialY,"610m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[38].**.initialX,"1500m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[38].**.initialY,"610m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[39].**.initialX,"1650m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[39].**.initialY,"610m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[40].**.initialX,"300m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[40].**.initialY,"730m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[41].**.initialX,"450m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[41].**.initialY,"730m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[42].**.initialX,"600m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[42].**.initialY,"730m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[43].**.initialX,"750m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[43].**.initialY,"730m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[44].**.initialX,"900m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[44].**.initialY,"730m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[45].**.initialX,"1050m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[45].**.initialY,"730m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[46].**.initialX,"1200m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[46].**.initialY,"730m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[47].**.initialX,"1350m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[47].**.initialY,"730m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[48].**.initialX,"1500m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[48].**.initialY,"730m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[49].**.initialX,"1650m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[49].**.initialY,"730m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[50].**.initialX,"300m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[50].**.initialY,"850m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[51].**.initialX,"450m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[51].**.initialY,"850m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[52].**.initialX,"600m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[52].**.initialY,"850m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[53].**.initialX,"750m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[53].**.initialY,"850m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[54].**.initialX,"900m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[54].**.initialY,"850m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[55].**.initialX,"1050m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[55].**.initialY,"850m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[56].**.initialX,"1200m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[56].**.initialY,"850m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[57].**.initialX,"1350m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[57].**.initialY,"850m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[58].**.initialX,"1500m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[58].**.initialY,"850m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[59].**.initialX,"1650m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[59].**.initialY,"850m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[60].**.initialX,"300m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[60].**.initialY,"970m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[61].**.initialX,"450m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[61].**.initialY,"970m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[62].**.initialX,"600m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[62].**.initialY,"970m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[63].**.initialX,"750m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[63].**.initialY,"970m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[64].**.initialX,"900m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[64].**.initialY,"970m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[65].**.initialX,"1050m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[65].**.initialY,"970m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[66].**.initialX,"1200m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[66].**.initialY,"970m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[67].**.initialX,"1350m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[67].**.initialY,"970m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[68].**.initialX,"1500m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[68].**.initialY,"970m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[69].**.initialX,"1650m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[69].**.initialY,"970m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[70].**.initialX,"300m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[70].**.initialY,"1090m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[71].**.initialX,"450m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[71].**.initialY,"1090m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[72].**.initialX,"600m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[72].**.initialY,"1090m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[73].**.initialX,"750m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[73].**.initialY,"1090m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[74].**.initialX,"900m + uniform(-10m, 10m)",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[74].**.initialY,"1090m + uniform(-8m, 8m)",,
N20-29-20260518-02:26:39-159846,config,,,**.HospitalServer.numApps,1,,
N20-29-20260518-02:26:39-159846,config,,,**.HospitalServer.app[0].typename,HospitalServerApp,,
N20-29-20260518-02:26:39-159846,config,,,**.HospitalServer.app[0].destPort,2000,,
N20-29-20260518-02:26:39-159846,config,,,**.HospitalServer.app[0].localPort,1000,,
N20-29-20260518-02:26:39-159846,config,,,**.HospitalServer.app[0].adrMethod,"""avg""",,
N20-29-20260518-02:26:39-159846,config,,,**.HospitalServer.**.evaluateADRinServer,true,,
N20-29-20260518-02:26:39-159846,config,,,**.HospitalServer.app[0].queueSize,50,,
N20-29-20260518-02:26:39-159846,config,,,**.HospitalServer.app[0].expo_rate_lambda,0.83,,
N20-29-20260518-02:26:39-159846,config,,,**.loRaGateway.numUdpApps,1,,
N20-29-20260518-02:26:39-159846,config,,,**.loRaGateway.packetForwarder.localPort,2000,,
N20-29-20260518-02:26:39-159846,config,,,**.loRaGateway.packetForwarder.destPort,1000,,
N20-29-20260518-02:26:39-159846,config,,,**.loRaGateway.packetForwarder.destAddresses,"""HospitalServer""",,
N20-29-20260518-02:26:39-159846,config,,,**.loRaGateway.**.initFromDisplayString,false,,
N20-29-20260518-02:26:39-159846,config,,,**.loRaGateway.**.initialX,544.00m,,
N20-29-20260518-02:26:39-159846,config,,,**.loRaGateway.**.initialY,544.00m,,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[*].numApps,1,,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[*].app[0].typename,PatientSensorApp,,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[*].app[0].expo_rate_lambda,0.00175,,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[*].app[0].emergencyThreshold,50,,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[*].**.timeToFirstPacket,exponential(24s),,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[*].**.timeToNextPacket,exponential(24s),,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[*].**.numberOfPacketsToSend,0,,
N20-29-20260518-02:26:39-159846,config,,,**.loRaNodes[*].**initialLoRaSF,12,,
